Price,BBCA_Close,BBCA_High,BBCA_Low,BBCA_Open,BBCA_Volume,BBRI_Close,BBRI_High,BBRI_Low,BBRI_Open,BBRI_Volume,BMRI_Close,BMRI_High,BMRI_Low,BMRI_Open,BMRI_Volume,BBNI_Close,BBNI_High,BBNI_Low,BBNI_Open,BBNI_Volume,BBTN_Close,BBTN_High,BBTN_Low,BBTN_Open,BBTN_Volume
Ticker,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16,8522.4228515625,8522.4228515625,8405.03410705062,8498.945102660124,48714300,4558.3603515625,4580.066829427084,4493.24091796875,4580.066829427084,99488800,5121.4794921875,5121.4794921875,5035.041019745518,5056.6506378560125,36004500,4335.85400390625,4370.89120797822,4300.816799834281,4353.372605942235,38121600,1128.8819580078125,1133.4156204897715,1119.8146330438944,1128.8819580078125,5074500
2023-11-17,8522.4228515625,8522.4228515625,8428.511855952996,8475.467353757747,57050500,4536.6533203125,4558.359795529306,4493.240369878888,4493.240369878888,70727500,5099.86962890625,5143.088863049524,5056.650394762976,5078.260011834614,33963900,4362.13232421875,4370.891626074611,4292.0579093718625,4327.095116795306,48489500,1169.68505859375,1174.218721611555,1124.3484284156975,1124.3484284156975,45268800
2023-11-20,8334.6005859375,8475.467074713908,8334.6005859375,8428.511578455105,49216000,4558.3603515625,4580.066829427084,4493.24091796875,4493.24091796875,54123600,5078.26025390625,5121.4794901097075,5035.0410177027925,5035.0410177027925,20014600,4362.13232421875,4401.549182570124,4353.373022362889,4379.650927930472,52108800,1165.1513671875,1178.752355909533,1156.0840413728113,1174.2186930021887,13146000
2023-11-21,8240.689453125,8358.078191773504,8240.689453125,8287.644948584402,107614800,4514.947265625,4558.360220102163,4493.240788386418,4536.653742863582,104110500,5078.26025390625,5121.4794901097075,5035.0410177027925,5056.650635804521,55094300,4445.34521484375,4467.2434671336205,4370.8911570581895,4379.650457974138,129449900,1142.4830322265625,1165.1513463580418,1133.4157065739707,1165.1513463580418,11512900
2023-11-22,8334.6005859375,8334.6005859375,8240.689593419895,8240.689593419895,40364800,4580.06689453125,4601.773372704384,4493.240981838714,4493.240981838714,103585500,5078.26025390625,5099.869872007978,5035.0410177027925,5035.0410177027925,21111100,4445.34521484375,4467.2434671336205,4401.548710264009,4467.2434671336205,28872800,1142.4830322265625,1147.0166950528583,1133.4157065739707,1137.9493694002665,10704200
2023-11-23,8381.5556640625,8428.511157978817,8311.122423188026,8311.122423188026,55542100,4645.18603515625,4688.598988755841,4601.773081556658,4623.479558356455,174572400,5099.86962890625,5143.088863049524,5099.86962890625,5143.088863049524,36725600,4511.0400390625,4532.938291679308,4445.345281212075,4467.243533828883,80157000,1151.5504150390625,1160.6177411417323,1142.4830889363927,1142.4830889363927,9032800
2023-11-24,8381.5556640625,8428.511157978817,8358.077917104341,8381.5556640625,43631900,4688.5986328125,4732.011583116319,4666.89215766059,4688.5986328125,92571400,5078.26025390625,5121.4794901097075,5056.650635804521,5121.4794901097075,27087900,4554.83642578125,4598.632929875301,4532.938173734225,4532.938173734225,61211100,1147.0167236328125,1156.0840495113328,1137.9493977542922,1151.5503865720727,8163700
2023-11-27,8334.6005859375,8405.033830325703,8334.6005859375,8358.0783340669,35679000,4645.18603515625,4732.011942355432,4645.18603515625,4710.305465555636,76019100,5099.86962890625,5121.479245977886,5078.260011834614,5099.86962890625,39719300,4620.53125,4686.226007109005,4576.734745260664,4576.734745260664,79553000,1169.68505859375,1174.218721611555,1147.0167435047238,1147.0167435047238,24245600
2023-11-28,8334.6005859375,8405.033830325703,8311.122837808098,8334.6005859375,69070600,4645.18603515625,4710.305465555636,4623.479558356455,4623.479558356455,147993400,5099.86962890625,5121.479245977886,5078.260011834614,5099.86962890625,58255800,4532.9384765625,4686.226251132247,4532.9384765625,4686.226251132247,43142000,1174.21875,1183.2860762548262,1169.685086872587,1174.21875,26158700
2023-11-29,8358.0791015625,8405.034602133075,8358.0791015625,8358.0791015625,54715600,4601.77294921875,4666.89237774543,4601.77294921875,4645.18590156987,106197800,5056.650390625,5121.479241786859,5035.040773571047,5056.650390625,36796600,4576.73486328125,4576.73486328125,4467.24359860945,4489.14185154381,48041400,1160.6177978515625,1178.7524509429932,1151.5504713058472,1178.7524509429932,12237200
